"word"	"count"
"assort"	48
"assum"	303
"assumpt"	64
"assur"	150
"asthma"	24
"astonish"	42
"astro"	32
"astronaut"	25
"asylum"	32
"atbat"	47
"ate"	208
"atheist"	29
"athlet"	415
"atl"	47
"atlant"	132
"atlanta"	245
"atleast"	25
"atm"	33
"atmospher"	133
"atom"	43
"atop"	44
"att"	66
"attach"	180
"attack"	754
"attain"	46
"attempt"	612
"attend"	706
"attende"	46
"attent"	643
"attir"	30
"attitud"	254
"attorney"	637
"attract"	405
"attribut"	95
"auburn"	32
"auction"	148
"audienc"	421
"audio"	100
"audit"	207
"auditor"	45
"auditorium"	33
"aug"	146
"august"	319
"aunt"	98
"aurora"	30
"auster"	52
"austin"	413
"australia"	137
"australian"	79
"austria"	22
"authent"	109
"author"	1204
"autism"	69
"auto"	166
"autograph"	62
"autom"	35
"automak"	68
"automat"	126
"automot"	27
"autumn"	66
"avail"	934
"avatar"	36
"ave"	214
"aveng"	203
"avenu"	359
"averag"	645
"averi"	37
"avi"	45
"aviat"	45
"avid"	34
"avocado"	49
"avoid"	461
"avon"	34
"await"	113
"awak"	126
"awaken"	43
"awar"	392
"award"	666
"awardwin"	32
"away"	2346
"awe"	85
"awesom"	1515
"awhil"	89
"awkward"	242
"aww"	123
"awww"	84
"aye"	55
"babe"	130
"babi"	1363
"babysit"	34
"bachelor"	74
"bachmann"	25
"back"	7471
"backbon"	22
"backdrop"	31
"backer"	32
"background"	288
"backpack"	58
"backtoback"	36
"backup"	106
"backward"	67
"backyard"	70
"bacon"	184
"bacteria"	36
"bad"	2090
"badass"	56
"badg"	59
"badger"	63
"bag"	647
"baggag"	32
"bail"	104
"bailey"	53
"bailout"	42
"bait"	37
"bake"	441
"baker"	88
"bakeri"	45
"balanc"	407
"balconi"	28
"bald"	33
"baldwin"	34
"bale"	28
"ball"	830
"ballet"	62
"balloon"	75
"ballot"	170
"ballpark"	46
"ballroom"	51
"baltimor"	324
"ban"	238
"banana"	153
"band"	890
"bandwagon"	29
"bang"	146
"bank"	904
"banker"	45
"bankrupt"	24
"bankruptci"	102
"banner"	96
"banquet"	35
"baptist"	57
"bar"	934
"barack"	169
"barbara"	98
"barbecu"	46
"barber"	23
"barbi"	40
"barcelona"	47
"bare"	247
"barefoot"	28
"barg"	22
"bargain"	143
"bark"	69
"barn"	129
"barney"	32
"baron"	33
"barrel"	99
"barrett"	48
"barri"	95
"barrier"	80
"bart"	26
"bartend"	65
"base"	1280
"basebal"	409
"baseman"	53
"basement"	100
"bash"	54
"basi"	226
"basic"	540
"basil"	50
"basin"	26
"basket"	159
"basketbal"	413
"bass"	149
"bastard"	49
"bat"	197
"batch"	98
"bath"	164
"bathroom"	218
"batman"	60
"batter"	161
"batteri"	118
"battl"	442
"battlefield"	25
"batum"	28
"bay"	429
"baylor"	41
"bball"	28
"bbc"	66
"bbq"	87
"bcs"	37
"bday"	149
"beach"	578
"beacon"	22
"bead"	98
"beam"	50
"bean"	255
"bear"	487
"beard"	88
"beast"	126
"beasti"	45
"beat"	875
"beaten"	75
"beatl"	45
"beauti"	1746
"beaver"	65
"beaverton"	27
"becam"	636
"becaus"	5869
"beck"	34
"beckett"	34
"becki"	31
"becom"	1830
"bed"	894
"bedroom"	157
"bedtim"	34
"bee"	116
"beef"	195
"been"	9584
"beer"	1152
"beet"	28
"befor"	4447
"beforehand"	25
"beg"	85
"began"	745
"begin"	1373
"beginn"	27
"begun"	121
"behalf"	115
"behav"	67
"behavior"	288
"behaviour"	39
"behind"	1083
"behold"	47
"beij"	43
"belat"	33
"belgian"	34
"belieb"	44
"belief"	176
"believ"	2175
"bell"	262
"bella"	42
"bellevill"	27
"belli"	128
"belmont"	26
"belong"	215
"belov"	88
"below"	507
"belt"	166
"ben"	199
"bench"	188
"benchmark"	31
"bend"	72
"beneath"	67
"benedict"	42
"benefici"	44
"beneficiari"	29
"benefit"	723
"bengal"	29
"benjamin"	82
"bennett"	51
"bent"	44
"bergen"	46
"berkeley"	50
"berlin"	45
"bernank"	25
"bernard"	29
"berni"	31
"berri"	98
"berth"	34
"besid"	282
"best"	3870
"bestfriend"	49
"besti"	30
"bestsel"	32
"bet"	407
"beta"	50
"beth"	68
"betray"	65
"better"	3412
"betti"	71
"between"	2019
"bever"	55
"beverag"	75
"bewar"	38
"beyonc"	35
"beyond"	486
"bff"	38
"bias"	74
"bibl"	229
"biblic"	33
"bicycl"	79
"bid"	184
"biden"	43
"bieber"	113
"big"	3203
"bigger"	312
"biggest"	504
"bike"	357
"bikini"	36
"bill"	1236
"billboard"	40
"billi"	114
"billion"	663
"billionair"	38
"bin"	143
"bind"	56
"bing"	53
"bingo"	33
"bio"	67
"biographi"	30
"biolog"	66
"bipartisan"	39
"bird"	391
"birdi"	51
"birmingham"	25
"birth"	293
"birthday"	1186
"biscuit"	57
"bishop"	85
"bistro"	47
"bit"	1688
"bitch"	606
"bite"	200
"bitter"	160
"bittersweet"	32
"biz"	101
"bizarr"	73
"black"	1436
"blackberri"	76
"blackhawk"	28
"blackmon"	26
"blade"	74
"blah"	97
"blair"	39
"blake"	115
"blame"	311
"blanc"	31
"bland"	31
"blank"	66
"blanket"	93
"blast"	254
"blatant"	31
"blaze"	66
"blazer"	243
"bleach"	25
"bleak"	25
"bleed"	71
"blend"	204
"blender"	32
"bless"	602
"blew"	83
"blind"	179
"blink"	46
"bliss"	58
"blizzard"	26
"block"	770
"blockbust"	35
"blog"	1690
"blogger"	212
"blond"	89
"blood"	476
"bloodi"	88
"bloom"	103
"bloomberg"	41
"blossom"	70
"blow"	332
"blown"	84
"blowout"	26
"blue"	906
"blueberri"	45
"blueprint"	22
"blunt"	57
"blur"	46
"bluray"	27
"blurb"	34
"blush"	57
"blvd"	66
"bmw"	27
"board"	1196
"boast"	68
"boat"	283
"bob"	299
"bobbi"	119
"bobcat"	23
"bodi"	1156
"boe"	28
"boehner"	40
"boi"	22
"boil"	162
"bois"	35
"bold"	124
"bolster"	33
"bolt"	48
"bolton"	30
"bomb"	232
"bomber"	40
"bon"	56
